contract,horizon_days,fold,mae,rmse,mape,directional_accuracy,enet_mae,lasso_features_kept,lasso_features_total,lasso_alpha,train_size,test_size
Q3_26,7,1,1.9484673292078987,2.416611701043894,2.840449679759658,51.78571428571429,1.4731300220784564,16,38,0.018562050997926637,100,57
Q3_26,7,2,7.7566995666950485,8.698909888874683,11.363415586624848,30.357142857142854,1.893269212064411,11,38,0.06832176203922723,157,57
Q3_26,7,3,1.5429339394812174,1.7025739817740355,2.3160536834781427,44.642857142857146,1.4620433968747057,10,38,0.19862401545779554,214,57
Q3_26,7,4,4.790585590398351,5.078912452548544,7.8072138817897425,53.57142857142857,5.628090246344593,0,38,1.061369790809707,271,57
Q3_26,7,5,6.182508443242871,7.447731695341862,8.384642771773672,51.78571428571429,6.2857316009014434,14,38,0.06979824285087464,328,57
Q3_26,30,1,3.0698487904646994,4.065436409156264,4.553367479400337,58.92857142857143,3.8463979467046157,6,38,0.45060342436455186,100,57
Q3_26,30,2,3.41078790608279,4.01796038883518,5.065696746192306,51.78571428571429,3.20324853479569,23,38,0.01341184808146569,157,57
Q3_26,30,3,0.856426193641691,1.0869374503731453,1.2843781940629426,50.0,0.803453933078671,14,38,0.08673670912008331,214,57
Q3_26,30,4,5.765990467849257,5.988680164342463,9.385084147714922,12.5,5.628090246344593,0,38,0.9058177277645073,271,57
Q3_26,30,5,6.5632495571699865,7.928038556835288,8.547068976041071,50.0,6.53808686462126,9,38,0.20338374595888428,328,57
Q4_26,7,1,4.399491718908481,4.663618496819665,6.100460497267335,54.54545454545454,4.147286403493907,21,38,0.00971111268671519,117,67
Q4_26,7,2,5.679237194108951,6.143034122684354,8.32276061961625,37.878787878787875,5.099714974105689,13,38,0.06157819512779356,184,67
Q4_26,7,3,6.7089541122322105,7.728173477735338,8.240344508426533,51.515151515151516,9.055521257204434,1,38,0.771231597525131,251,67
Q4_26,30,1,2.033517795274779,2.320897895306463,2.862456837840525,48.484848484848484,1.9291693243102466,12,38,0.056793440953301,117,67
Q4_26,30,2,1.6183822086329318,1.9207441943744328,2.323871160314042,50.0,1.6700801203883928,16,38,0.05193918875120379,184,67
Q4_26,30,3,7.740369374855915,8.589128160693718,9.548940589562454,43.93939393939394,7.473411004952069,20,38,0.009097323772361355,251,67
Q1_27,7,1,1.3838819695240328,1.9430570262910403,2.251226577500805,49.275362318840585,1.3558415058741873,14,38,0.014857841769738363,120,70
Q1_27,7,2,4.489523181415208,5.1957726544593905,6.3966874772949875,43.47826086956522,4.496392223454314,20,38,0.009064816170704518,190,70
Q1_27,30,1,3.637231514222701,3.905361907630955,5.842004419175984,59.42028985507246,4.037488583615062,18,38,0.00639086914890887,120,70
Q1_27,30,2,7.378295458863577,8.7609169385989,10.428524691267318,43.47826086956522,7.304839305048164,7,38,0.1647055478829821,190,70
Q2_27,7,1,6.219958957113483,8.273998586020973,15.73385374341024,61.97183098591549,5.803367141786564,12,38,0.050857625111792704,126,72
Q2_27,30,1,4.230798389312654,6.265054558823609,10.433871575905549,47.88732394366197,4.445700567500978,17,38,0.009519700294604888,126,72
YR27,7,4,8.473295508164297,10.860195418928354,13.75898280242412,21.666666666666668,7.81855490989382,5,23,0.8108400860765151,588,121
YR27,7,5,8.377927394555542,9.12383725889006,13.97500695134658,5.0,8.589046761321823,14,23,0.03880085791474583,709,121
YR27,7,6,4.825805571951931,5.200604698762891,7.910631989016376,10.0,4.660883303875303,12,23,0.1791124519263893,830,121
YR27,7,7,2.813810739814157,3.6076256891008724,5.22066889945461,34.166666666666664,3.7486268407501915,5,23,0.7144800709241474,951,121
YR27,7,8,1.6338281839932765,1.8965184442367244,2.885675455929846,36.666666666666664,1.6038774830749774,16,23,0.0069376564007202456,1072,121
YR27,7,9,1.6696431943598393,1.950623334103633,2.900192537398103,40.833333333333336,1.7262143709996516,8,23,0.15721530731650862,1193,121
YR27,7,10,3.9101715499035645,4.2662035503160345,6.558052602318883,40.833333333333336,4.102196038439129,9,23,0.1306897520609064,1314,121
YR27,7,11,2.3948577769997996,2.847677060837888,4.290239230161033,54.166666666666664,2.2644353330003915,13,23,0.06810694558467766,1435,121
YR27,30,4,6.893153764426693,9.199997862305384,11.20781715079658,20.0,7.165468926934679,7,23,0.44103308322533696,588,121
YR27,30,5,9.34137472474641,9.850524171924178,15.55305642774663,8.333333333333332,9.312038669196903,11,23,0.15666731527088473,709,121
YR27,30,6,6.044399364708943,6.311095210643174,9.951794849174245,14.166666666666666,5.97318984927434,13,23,0.15747103254221803,830,121
YR27,30,7,3.6177032120070107,4.500104174742071,6.6508032368711625,32.5,4.244372020972909,4,23,0.7965823751208264,951,121
YR27,30,8,2.359675186159662,2.900946115231392,4.158419611566089,31.666666666666664,2.315610050272439,14,23,0.031187073443825236,1072,121
YR27,30,9,2.0640920936821257,2.504588529009671,3.5848560432576275,33.33333333333333,2.0624151505177597,13,23,0.03353163872566621,1193,121
YR27,30,10,5.887305347224335,6.040487737779397,9.918030728587905,43.333333333333336,5.942734214068601,12,23,0.17045164658441758,1314,121
YR27,30,11,3.3176748790034054,3.728543420403008,5.954680277311892,49.166666666666664,3.310677873793895,13,23,0.05875706255693089,1435,121
YR28,7,4,10.179321230891924,10.34554599576416,18.46555223640284,9.00900900900901,9.84392502767092,3,23,0.7412098278032094,548,112
YR28,7,5,6.703201664772237,6.852482900826143,12.718190711872483,4.504504504504505,7.054733726011485,10,23,0.12107994156637936,660,112
YR28,7,6,5.677043997818769,6.658663754659517,9.534329657822434,18.91891891891892,5.765981867016189,6,23,0.47090760330778525,772,112
YR28,7,7,2.83600130800938,3.704116953764117,5.477200260816299,21.62162162162162,2.7052624996855537,10,23,0.2207788705304526,884,112
YR28,7,8,2.303216196924456,2.488071840197113,4.046239791607588,29.72972972972973,2.0943726805538234,7,23,0.3532038971213174,996,112
YR28,7,9,1.6776075779717565,2.022889325581946,2.926427750832983,26.126126126126124,1.786022527098321,6,23,0.18256473100356768,1108,112
YR28,7,10,4.418180859705102,4.570694337370369,7.4891096055369895,26.126126126126124,4.754826047496872,10,23,0.0469007522396347,1220,112
YR28,7,11,1.7134169307250697,1.8861471911285557,3.1252158503858722,47.74774774774775,1.7293353082971037,14,23,0.021811725483779413,1332,112
YR28,30,4,7.094093789764851,7.259184437537692,12.88716033989373,6.306306306306306,7.748872590663216,4,23,0.3979452462313494,548,112
YR28,30,5,7.608191804550745,8.1478255625249,14.437517616007108,6.306306306306306,6.8894776959884,7,23,0.1456986868551832,660,112
YR28,30,6,6.303920377390178,7.141693806176032,10.629165440639756,20.72072072072072,6.398408851692224,7,23,0.3261449616399464,772,112
YR28,30,7,4.140837132030169,5.087601060646371,7.988606556212726,27.927927927927925,4.054301544913015,8,23,0.21706073273209744,884,112
YR28,30,8,2.8265503802699676,3.2036014180981236,4.95259631252288,19.81981981981982,2.7107365191937243,8,23,0.263800340191972,996,112
YR28,30,9,2.0325963258522113,2.6525208973452026,3.5542078779433455,27.027027027027028,1.8252909911807382,9,23,0.20768868872611237,1108,112
YR28,30,10,5.546327792434139,5.636829634774603,9.41782520789231,29.72972972972973,6.081411547626108,14,23,0.03575617561311904,1220,112
YR28,30,11,2.297227836621591,2.5586377175166324,4.215505989606676,42.34234234234234,2.4140258315193606,16,23,0.031314648475070726,1332,112
